Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,Mentioned_Person_ID,Mentioned_Person,Mentioned_Org_ID,Mentioned_Org,Mentioned_Places_Abbr,Mentioned_Places,Recipient_Adress,Mentioned_Works_IDs
B18800103EaE,peHI,HENRIK IBSEN,peEaE,ERIK AF EDHOLM,1880-01-03,MÜNCHEN,Mun,"'peElHw, peGF'",,orgGyl,,"'Kbh, Dk'","'København, Danmark'","'Til, hs: højvelbårenhed, første hofmarskalken hos H. M. Kongen,, herr Erik af Edholm,, chef for de kgl: theatre., Stockholm., (Schweden.)'",woDu
B18800112NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1880-01-12,MÜNCHEN,Mun,,,orgChrTh,,,,,woDu
B18800113FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1880-01-13,MÜNCHEN,Mun,"'peNL, peMT'",,orgChrTh,,,,,"'woDu, woUF, woKG'"
B18800120AuLa,peHI,HENRIK IBSEN,peAuLa,AUGUST LARSEN,1880-01-20,MÜNCHEN,Mun,"'peJASch, peBH, peEPo'",,,,Kbh,København,,
B18800121EaE,peHI,HENRIK IBSEN,peEaE,ERIK AF EDHOLM,1880-01-21,MÜNCHEN,Mun,,,orgKoTh,,,,"'Til, Hs: Maj: Kongens første hofmarskalk, herr Erik af Edholm,, chef for de kgl: theatre., Stockholm., (Schweden.)'",woDu
B18800122FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1880-01-22,MÜNCHEN,Mun,"'peSuI, peWL, peBB'",,"'orgKT, orgPR'",,"'Kbh, Dk, Lei'","'København, Danmark, Leipzig'",,"'woDu, woSS'"
B18800127BEB,peHI,HENRIK IBSEN,peBEB,BENDIX EDVARD BENDIXEN,1880-01-27,MÜNCHEN,Mun,peWick,,orgNatSc,,,,,woDu
B18800128LJ,peHI,HENRIK IBSEN,peLJ,LUDVIG JOSEPHSON,1880-01-28,MÜNCHEN,Mun,peNL,,orgKoTh,,Kri,Kristiania,,"'woC1, woC2, woKK, woHH, woKE'"
B18800202FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1880-02-02,MÜNCHEN,Mun,"'peAxK, peAR'",,orgGotT,,"'N, Kbh, Kri, D'","'Norge, København, Kristiania, Tyskland'",,"'woDu, woUF, woKG'"
B18800207NN_Werther,peHI,HENRIK IBSEN,peNN,UKJENT MOTTAGER,1880-02-07,MÜNCHEN,Mun,peSuI,,,,,,,
Budat18800214CWF,peHI,HENRIK IBSEN,peCWF,WILHELM FOGHT,1880-02-14,MÜNCHEN,Mun,peNL,,,,Kri,Christiania,,
B18800215FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1880-02-15,MÜNCHEN,Mun,"'peCC, peEBogh, peSiI, peAR'",,orgAftp,,"'Dre, Rom, It, Kri, Mun'","'Dresden, Rom, Italien, Kristiania, München'",,"'woDu, woUF, woKG'"
B18800217Nat,peHI,HENRIK IBSEN,orgNat,NATIONALTIDENDE,1880-02-17,MÜNCHEN,Mun,peWL,,,,"'Fle, Berl, D'","'Flensborg, Berlin, Tyskland'",,woDu
B18800218HLa,peHI,HENRIK IBSEN,peHLa,HEINRICH LAUBE,1880-02-18,MÜNCHEN,Mun,"'peWL, peHNR'",,,,"'Kbh, Sthlm, Kri, D'","'Kopenhagen, Stockholm, Christiania, Norddeutschland'",,woDu
Budat18800220OSa,peHI,HENRIK IBSEN,peOSa,OSKAR SALICATH,1880-02-20,MÜNCHEN,Mun,peNL,,,,Kri,Christiania,,
B18800222ESta,peHI,HENRIK IBSEN,peESta,EMIL STANG,1880-02-22,MÜNCHEN,Mun,"'peCWF, peOSa'",,,,,,,
B18800301NatSc,peHI,HENRIK IBSEN,orgNatSc,BERGENS NATIONALE SCENE,1880-03-01,MÜNCHEN,Mun,peBEB,,orgNatSc,,,,,woDu
B18800309ESta,peHI,HENRIK IBSEN,peESta,EMIL STANG,1880-03-09,MÜNCHEN,Mun,"'peCWF, peOSa'",,,,Kri,Kristiania,,woDu
B18800313WF,peHI,HENRIK IBSEN,peWF,WILHELM FLACH,1880-03-13,MÜNCHEN,Mun,,,,,"'Upp, SE'","'Upsala, Sverig'",,
B18800314PA,peHI,HENRIK IBSEN,pePA,PAUL APFELSTEDT,1880-03-14,MÜNCHEN,Mun,,,,,"'Fra, It'","'Frankfurt a. M., Italien'",,
B18800319NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1880-03-19,MÜNCHEN,Mun,"'peFrCe, peESta'",,orgDampD,,"'Kri, Trhm, SE'","'Kristiania, Trondhjem, Sverig'",,woDu
B18800321ReGr,peHI,HENRIK IBSEN,peReGr,GÜNTHER VON DER GROEBEN,1880-03-21,MÜNCHEN,Mun,"'peFKS, peElMa, peHeMa'",,orgNeuZ,,,,,woDu
B18800324NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1880-03-24,MÜNCHEN,Mun,peHanst,,,,Kri,Kristiania,,
B18800325KE,peHI,HENRIK IBSEN,peKE,KRISTIAN ELSTER,1880-03-25,MÜNCHEN,Mun,,,,,"'Trhm, D'","'Trondhjem, Tyskland'","'Herr Kristian Elster., Trondhjem., (Norwegen.)'",
B18800326BEB,peHI,HENRIK IBSEN,peBEB,BENDIX EDVARD BENDIXEN,1880-03-26,MÜNCHEN,Mun,peAJo,,orgNatSc,,,,,woDu
B18800326VVo,peHI,HENRIK IBSEN,peVVo,VOLRATH VOGT,1880-03-26,MÜNCHEN,Mun,,,,,Kri,Kristiania,,
B18800328OB,peHI,HENRIK IBSEN,peOB,OTTO BORCHSENIUS,1880-03-28,MÜNCHEN,Mun,,,,,Kbh,København,,
B18800330VaVa,peHI,HENRIK IBSEN,peVaVa,VALFRID VASENIUS,1880-03-30,MÜNCHEN,Mun,,,,,Hel,Helsingfors,,woDu
B18800403MorM,peHI,HENRIK IBSEN,peMorM,MORTEN MÜLLER,1880-04-03,MÜNCHEN,Mun,"'peSuI, peCoM'",,,,,,,
B18800414FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1880-04-14,MÜNCHEN,Mun,peCC,,"'orgKoTh, orgKT'",,"'Kbh, Mun'","'København, München'",,woDu
B18800417WL,peHI,HENRIK IBSEN,peWL,WILHELM LANGE,1880-04-17,MÜNCHEN,Mun,"'peCJ, peAS, peHNR'",,,,Ham,Hamburg,,"'woUF, woDu'"
B18800423JBo,peHI,HENRIK IBSEN,peJBo,JOHAN BOKLUND,1880-04-23,MÜNCHEN,Mun,peJKr,,,,"'Sthlm, It'","'Stockholm, Italien'",,
B18800519LP,peHI,HENRIK IBSEN,peLP,LUDWIG PASSARGE,1880-05-19,MÜNCHEN,Mun,"'peSuI, peSiI'",,,,"'N plDk plSE, Hard'","'skandinaviske lande, Odde i Hardanger'",,woPG
B18800531FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1880-05-31,MÜNCHEN,Mun,"'peSuI, peSiI'",,,,"'Berg, Kri, Rom, N'","'Bergen, Kristiania, mit Romer-liv, Norge'",,"'woC2, woF1, woF2, woHH, woKE, woKK, woBr, woPG'"
Budat1880GAD,peHI,HENRIK IBSEN,peGAD,GUSTAV ADOLPH «DOFFEN» DAHL,1880,MÜNCHEN,Mun,,,,,,,,
B18800609FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1880-06-09,MÜNCHEN,Mun,,,,,Kbh,Copenhague,,
B18800616LP,peHI,HENRIK IBSEN,peLP,LUDWIG PASSARGE,1880-06-16,MÜNCHEN,Mun,"'peBSchl, peLD'",,,,N,Norge,,woPG
B18800628VaVa,peHI,HENRIK IBSEN,peVaVa,VALFRID VASENIUS,1880-06-28,MÜNCHEN,Mun,,,,,Sthlm,Sthlm,,
Budat18800707MGogBG,peHI,HENRIK IBSEN,peMG peBG,MARCUS OG BERNT GRØNVOLD,1880-07-09,MÜNCHEN,Mun,peSuI,,,,,,"'Herrn Historienmaler, M: Grønvold., Barer-Strasse 58., Rückgebäude., (Hier.)'",
Budat188007VaVa,peHI,HENRIK IBSEN,peVaVa,VALFRID VASENIUS,1880-07-09,MÜNCHEN,Mun,peSuI,,,,,,"'Herrn Dr: V: Vasenius., Zimmer n,  92., Rheinischer Hof., Bahnhofplatz., (Hier.)'",
Budat18800709IA,peHI,HENRIK IBSEN,peIA,IDA AALBERG,1880-07-09,MÜNCHEN,Mun,peSuI,,,,,,"'Fräulein Aalberg., Karls-Strasse 39., 2. Etage'",
B18800711BEB,peHI,HENRIK IBSEN,peBEB,BENDIX EDVARD BENDIXEN,1880-07-11,MÜNCHEN,Mun,"'peCMK, peNL'",,orgNatSc,,"'Berg, Kri'","'Bergen, Kristiania'",,
B18800716FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1880-07-16,MÜNCHEN,Mun,"'peSuI, peSiI, peMT, peCCTA, pePMOL'",,,,"'N, Kbh'","'Norge, København'",,
B18800720KongO2,peHI,HENRIK IBSEN,peKongO2,OSCAR 2.,1880-07-20,MÜNCHEN,Mun,peSiI,,,,"'It, Dre, N'","'Italien, Dresden, Norge'",,
B18800808Dagbl,peHI,HENRIK IBSEN,orgDagbl,DAGBLADET,1880-08-08,MÜNCHEN,Mun,,,,,BerGad plBay,Berchtesgaden in Bayern,,
B18800808FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1880-08-08,MÜNCHEN,Mun,"'peSuI, peSiI'",,,,"'Kbh, N, BerGad plBay'","'København, Norge, Berchtesgaden'",,
B18800830SiI,peHI,HENRIK IBSEN,peSiI,SIGURD IBSEN,1880-08-30,BERCHTESGADEN,BerGad,"'peNHer, peNL, peSuI, peJBiden, peEmGo'",,orgKdep,,"'Kri, Pa'","'Kristiania, Paris'",,
B18800903SiI,peHI,HENRIK IBSEN,peSiI,SIGURD IBSEN,1880-09-03,BERCHTESGADEN,BerGad,"'peNL, peSuI'",,,,Olk,Ølken,,
B18800912EL,peHI,HENRIK IBSEN,peEL,EDMUND LOBEDANZ,1880-09-12,BERCHTESGADEN,BerGad,"'peBB, peWL'",,,,"'Kbh, Lei'","'København, Leipzig'",,
B18800918SiI,peHI,HENRIK IBSEN,peSiI,SIGURD IBSEN,1880-09-18,BERCHTESGADEN,BerGad,"'peSuI, peNL, peFH, peAHag, peMG, peHHerm, peHHJ, peGAD, peJP'",,orgKdep,,"'It, N, Kbh, Mun'","'Italien, Norge, København, München'",,
B18801005Kdep,peHI,HENRIK IBSEN,orgKdep,KIRKE- OG UNDERVISNINGSDEPARTEMENTET,1880-10-05,MÜNCHEN,Mun,peSiI,,,,,,,
B18801015NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1880-10-15,MÜNCHEN,Mun,"'peEAa, peCo, peCoLa, peWAb, peOSa, peESta, peSiI'",,orgDagbl,,"'Ty, SE, Kri'","'Tyrol, Sverig, Kristiania'",,woDu
B18801024FrkM,peHI,HENRIK IBSEN,peFrkM,"BENNY, OTILIA OG THEA MATTHIESSEN",1880-10-24,MÜNCHEN,Mun,,,,,"'N, Ty'","'Norge, Tyrol'","'Frøken Benny Matthiessen., Adresse: herr doktor Matthiessen., Bakkehuset pr: Rosendal., Søndhordland., Norwegen.'",
B18801025FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1880-10-25,MÜNCHEN,Mun,"'peSuI, peSiI, peAR, peEF, peSB, peFBa, peJLi'",,"'orgKdep, orgKT'",,"'Kbh, Kri, Rom, BerGad'","'København, Kristiania, Rom, Berchtesgaden'",,"'woDu, woSS'"
B18801101FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1880-11-01,MÜNCHEN,Mun,,,,,Kbh,Kbhvn,,
B18801101LP,peHI,HENRIK IBSEN,peLP,LUDWIG PASSARGE,1880-11-01,MÜNCHEN,Mun,,,,,"'D, Rom'","'Tyskland, Rom'",,woPG
B18801112FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1880-11-12,ROMA,Rom,peSiI,,,,"'Mun, N, Fir'","'München, Norge, Florents'",,
B18801126EGo,peHI,HENRIK IBSEN,peEGo,EDMUND GOSSE,1880-11-26,ROMA,Rom,peSiI,,,,Eng,England,,"'woDu, woFo'"
B18801221FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1880-12-21,ROMA,Rom,,,,,,,,
B18810103TL,peHI,HENRIK IBSEN,peTL,THEODOR LINDSTRAND,1881-01-03,ROMA,Rom,peDO,,,,,,,
B18810106LuDa,peHI,HENRIK IBSEN,peLuDa,LUDVIG DAAE,1881-01-06,ROMA,Rom,"'peSiI, peSuI, peChDa, peNL'",,,,Kri,Kristiania,,
B18810116FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1881-01-16,ROMA,Rom,"'peJPJ, peHD, peJHHL, peTL, peCAM, peSHe, peAR'",,orgKT,,"'Pa, Berl, It'","'Paris, Berlin, Italien'",,
B18810124NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1881-01-24,ROMA,Rom,"'peLuDa, peSiI'",,orgDagbl,,"'Pa, Berl, Ors, Al'","'Paris, Berlin, Ørskaug, Ålesund'",,
B18810304FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1881-03-04,ROMA,Rom,"'peJCH, peAKie, peLD, peSHe'",,,,,,,"'woBr, woPG'"
B18810309JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1881-03-09,ROMA,Rom,"'peSuI, peSiI, peAxT, peMAT, peBO'",,"'orgGyl, orgKdep'",,"'Kri, Mun, N'","'Kristiania, München, Norge'",,woDu
B18810310NN_Hojstarede_froken,peHI,HENRIK IBSEN,peNN,UKJENT MOTTAGER,1881-03-10,ROMA,Rom,,,,,,,,
B18810322FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1881-03-22,ROMA,Rom,,,,,Pa,Paris,,"'woBr, woFo'"
B18810327HEB,peHI,HENRIK IBSEN,peHEB,HAGBARD EMANUEL BERNER,1881-03-27,ROMA,Rom,"'peBB, peSiI, peAENo, peLPal'",,"'orgStort, orgChrTh, orgKDTS, orgKT'",,"'SE, Dk, Sthlm, D'","'Sverig, Danmark, Stockholm, Tyskland'","'Herr storthingsrepræsentant,, statsrevisor Berner., Christiania., (Norvegia.)'",woHH
B18810405NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1881-04-05,ROMA,Rom,peSiI,,,,"'Pa, N, Sorr, Na'","'Paris, Norge, Sorrento, Neapel'",,
Budat18810417CMR,peHI,HENRIK IBSEN,peCMR,CHRISTIAN MEYER ROSS,1881-04-17,ROMA,Rom,"'peSuI, peEP'",,,,,,,
B18810421FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1881-04-21,ROMA,Rom,"'peJP, peKE'",,,,,,,
B18810427NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1881-04-27,ROMA,Rom,,,orgDampD,,,,,
B18810618FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1881-06-18,ROMA,Rom,"'peSiI, peAR, peSHe'",,,,"'Sorr, Pa, Fir'","'Sorrento, Paris, Florents'",,"'woFo, woGe, woDu, woPG'"
B18810627NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1881-06-27,ROMA,Rom,,,,,Sorr,Sorrento,"'Herr boghandler Nils Lund., Christiania., Norvegia.'",
B18810806CAM,peHI,HENRIK IBSEN,peCAM,CHRISTOPHER ANDREAS MYHLENPHORT,1881-08-06,SORRENTO,Sorr,,,,,,,"'Al Cavaliere Myhlenphort,, Console di Danimarca, di Svezia & Norvegia., Via Sistina, 118., Roma.'",
B18810817LP,peHI,HENRIK IBSEN,peLP,LUDWIG PASSARGE,1881-08-17,SORRENTO,Sorr,"'peHEB, peBB, peBSchl'",,,,"'Kri, D, N, Rom'","'Kristiania, Tyskland, Norge, Rom'",,"'woPG, woBr, woGe'"
Budat188108CC,peHI,HENRIK IBSEN,peCC,CAMILLA COLLETT,1881-08,SORRENTO,Sorr,"'peSiI, peSuI'",,,,,,,
B18810906CCl,peHI,HENRIK IBSEN,peCCl,CONRAD CLAUSON,1881-09-06,SORRENTO,Sorr,"'peSuI, pePCl, peLC'",,,,,,"'Illmo: signor, Cavaliere Clauson,, Console-generale di Danimarca etc, Villa Manning., Sorrento.'",
B18810922LC,peHI,HENRIK IBSEN,peLC,LOUISA CLAUSON,1881-09-22,SORRENTO,Sorr,,,,,,,,
B18810930FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1881-09-30,SORRENTO,Sorr,peSiI,,,,Rom,Rom,,woGe
Budat188110BanNap,peHI,HENRIK IBSEN,orgBanNap,BANCO NAPOLETANA,1881,SORRENTO,Sorr,peWL,,,,"'Na, Berl'","'Neapel, Berlin'",,
B18811016FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1881-10-16,SORRENTO,Sorr,,,,,,,,"'woGe, woDu'"
B18811017KoTh,peHI,HENRIK IBSEN,orgKoTh,KONGL. THEATRARNE I STOCKHOLM,1881-10-17,SORRENTO,Sorr,"'peFH, peElHw'",,orgGyl,,"'Sthlm, Kbh'",København,,woGe
B18811104FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1881-11-04,SORRENTO,Sorr,,,,,Rom,Rom,,woGe
B18811106FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1881-11-06,ROMA,Rom,,,,,Kbh,Kbhvn,,
B18811112OSk,peHI,HENRIK IBSEN,peOSk,OLAF SKAVLAN,1881-11-12,ROMA,Rom,peJES,,,,SE,Sverig,"'Herr professor dr: Olaf Skavlan., Holbergs plads, 7., Christiania., (Norvegia.)'","'woGe, woC2'"
B18811122KongO2,peHI,HENRIK IBSEN,peKongO2,OSCAR 2.,1881-11-22,ROMA,Rom,,,,,,,"'Til, Hs: Majestæt Kongen., Stockholm., (Svezia.)'",
B18811123FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1881-11-23,ROMA,Rom,,,,,Ska,Skandinavien,,"'woGe, woKG, woGe, woFo'"
Budat18811123AR,peHI,HENRIK IBSEN,peAR,AUGUST RASMUSSEN,1881-11-23,ROMA,Rom,,,,,Kbh,København,,woGe
Budat18811123KT,peHI,HENRIK IBSEN,orgKT,DET KONGELIGE THEATER I KØBENHAVN,1881-11-23,ROMA,Rom,peEF,,,,Kbh,København,,woGe
