XML-ID,Wikidata ID,Given Name,Surname,Name,Year of Birth,Year of Death,Lifespan,Brief Description
peJLu,Q4566367,JOHN [THEODOR],LUND,JOHN [THEODOR] LUND,1842,1913,1842-1913,norsk politiker.
peLL,,[JOHAN] LUDVIG [MICHAEL],LUND,[JOHAN] LUDVIG [MICHAEL] LUND,1844,1912,1844-1912,dansk zoolog og religionshistorisk forfatter.
peMLu,Q3849378,MARIUS,LUND,MARIUS LUND,1852,1931,1852-1931,norsk bokhandelbetjent (NBO PA).
peNL,Q19587835,NILS,LUND,NILS LUND,1835,1914,1835-1914,norsk bokhandler.
peSLu,Q7512883,SIGNE,LUND,SIGNE LUND,1868,1950,1868-1950,norsk komponist og pianistinne.
peUL,,[ELISE] ULRIKKE,LUND,[ELISE] ULRIKKE LUND,1844,,1844-,norsk bokhandlerhustru.
peJLAL,,[JOHAN] LORENTZ [ALEXANDER],LUNDGREN,[JOHAN] LORENTZ [ALEXANDER] LUNDGREN,1832,1905,1832-1905,svensk grossist og teaterleder.
peABL,,CHRISTOPHER [ANKER BERG],LUNDH,CHRISTOPHER [ANKER BERG] LUNDH,1872,1924,1872-1924,norsk offiser.
peMLut,Q9554,MARTIN,LUTHER,MARTIN LUTHER,1483,1546,1483-1546,tysk kirkereformator.
peML,Q4356895,MIKAEL,LYBECK,MIKAEL LYBECK,1864,1925,1864-1925,finsk forfatter.
peMLy,,MARIE,LYCHE,MARIE LYCHE,1870,1946,1870-1946,norsk sykepleierske (NBO PA).
peVL,Q4586443,[GEORG] VILHELM,LYNG,[GEORG] VILHELM LYNG,1827,1884,1827-1884,norsk filosof.
peOKL,,OLAUS KRABBE,LYSHOLM,OLAUS KRABBE LYSHOLM,1840,1894,1840-1894,norsk kjøpmann (Berntsen 2005).
peGLa,Q4562720,GUSTAV,LÆRUM,GUSTAV LÆRUM,1870,1938,1870-1938,norsk tegner og billedhugger.
peArLo,Q4588027,ARNE,LØCHEN,ARNE LØCHEN,1850,1930,1850-1930,"norsk filosof, psykolog og litteraturforsker."
peHvL,Q1613264,HERMANN VON,LÖHNER,HERMANN VON LÖHNER,1842,1902,1842-1902,østerriksk litteraturhistoriker.
peJLo,,JAKOB [OLAUS],LØKKE,JAKOB [OLAUS] LØKKE,1829,1881,1829-1881,"norsk skolemann, filolog og lærebokforfatter."
peMLo,,[INGER] MARIE [BIRGITTE],LØKKE,[INGER] MARIE [BIRGITTE] LØKKE,1830,1913,1830-1913,norsk filologhustru.
peSoL,Q3200410,SØREN [BLOCH],LAACHE,SØREN [BLOCH] LAACHE,1854,1941,1854-1941,norsk lege.
peHLaa,Q25430940,HERMAN,LAADING,HERMAN LAADING,1813,1894,1813-1894,norsk teatermann og skolestyrer.
pePMa,,P. AAGE,MADSEN,P. AAGE MADSEN,1870,,1870-,dansk oversetter.
peJNMad,Q708414,JOHAN NICOLAI,MADVIG,JOHAN NICOLAI MADVIG,1804,1886,1804-1886,dansk filolog og politiker.
peCDM,Q11963614,CHRISTEN [DAAE],MAGELSSEN,CHRISTEN [DAAE] MAGELSSEN,1841,1940,1841-1940,norsk billedhugger.
peCFDM,,CHRISTIANE [FREDRIKKE],MAGELSSEN,CHRISTIANE [FREDRIKKE] MAGELSSEN,1814,1892,1814-1892,norsk lærerinne.
peEMag,,[ADELE] ELVIRA,MAGELSSEN,[ADELE] ELVIRA MAGELSSEN,1857,1913,1857-1913,italiensk-norsk billedhuggerhustru.
peTLM,,THORBJØRN LECHVE,MAGELSSEN,THORBJØRN LECHVE MAGELSSEN,1817,1905,1817-1905,norsk politimester.
peBMa,,BETSY [WILHELMINE ANDREA MARIE],MALLING,BETSY [WILHELMINE ANDREA MARIE] MALLING,1828,1903,1828-1903,norsk boktrykkerhustru.
pePTM,Q1571918,PETER TIDEMAND,MALLING,PETER TIDEMAND MALLING,1807,1878,1807-1878,"norsk boktrykker, bokhandler og forlegger."
peJAM,Q762949,[JOHAN] AUGUST,MALMSTRÖM,[JOHAN] AUGUST MALMSTRÖM,1829,1901,1829-1901,svensk maler.
peCRLM,Q4993034,[CHRISTOFFER RUTGER] LUDVIG,MANDERSTRÖM,[CHRISTOFFER RUTGER] LUDVIG MANDERSTRÖM,1806,1873,1806-1873,"svensk embetsmann, politiker og boksamler."
peMM,Q13426707,MIKKEL,MANDT,MIKKEL MANDT,1822,1882,1822-1882,norsk maler.
peKALM,Q5975433,KRISTIAN [ANDREAS LEOPOLD],MANTZIUS,KRISTIAN [ANDREAS LEOPOLD] MANTZIUS,1819,1879,1819-1879,dansk skuespiller og oppleser.
peAMa,Q37107137,,MAPPES,MAPPES,,,,"muligens Anton Mappes f. 1868, tysk embetsmann som noen år var ansatt i Bayerisches Kulturministerium, og som senere ble forfatter og journalist (Anker 2, 111; DBI 3. utg.)."
peCMar,Q2947020,CESARE,MARIANI,CESARE MARIANI,1826,1901,1826-1901,italiensk genre- og historiemaler (Thieme-Becker).
peHMa,Q80348211,HEDVIG [THERESIA FRANCISCA],MARIBO,HEDVIG [THERESIA FRANCISCA] MARIBO,1814,1891,1814-1891,norsk juristhustru.
peWAM,Q19398699,WILHELM [ADELSTEN],MARIBO,WILHELM [ADELSTEN] MARIBO,1814,1901,1814-1901,norsk jurist.
peMaBe,Q311850,AUGUSTE FERDINAND FRANÇOIS,MARIETTE,AUGUSTE FERDINAND FRANÇOIS MARIETTE,1821,1881,1821-1881,fransk egyptolog.
peMark,Q510704,,,MARKOS,,,,biskop i Syria.
peMarkus,Q31966,,,MARKUS,,,,ikke identifisert. Muligens sønn av Konrad Maurer. 
peElMa,Q18916715,ELISABETH,MARR,ELISABETH MARR,1828,1901,1828-1901,tysk forfatterinne.
peHeMa,Q1598262,HEINRICH,MARR,HEINRICH MARR,1797,1871,1797-1871,tysk skuespiller og regissør.
peHLMa,Q552875,HANS [LASSEN],MARTENSEN,HANS [LASSEN] MARTENSEN,1808,1884,1808-1884,dansk biskop.
peCM,,CATHRINE,MARTINI,CATHRINE MARTINI,1828,,1828-,norsk prestedatter (F 1865).
peFrkM,,"BENNY (f. 1864, d. etter 1940), OTILIA (1866-1955) og THEA (Theodora) (1868-1947)",MATTHIESSEN,"BENNY (f. 1864, d. etter 1940), OTILIA (1866-1955) og THEA (Theodora) (1868-1947) MATTHIESSEN",,,,døtre av den norske lege Otto Tobias Matthiessen (1815-1900) og Mathilde Claudine Dahl (1823-99) (
peKM,Q77626,KONRAD [VON],MAURER,KONRAD [VON] MAURER,1823,1902,1823-1902,tysk rettshistoriker.
peLM,Q104822,LUDWIG,MAURER,LUDWIG MAURER,1859,1927,1859-1927,tysk matematiker.
peVM,,VALERIE,MAURER,VALERIE MAURER,1833,,1833-,tysk professorhustru.
peChMa,Q1090939,CHÉRI,MAURICE,CHÉRI MAURICE,1805,1896,1805-1896,fransk-tysk teaterleder.
peMaxi,,,,MAXIMOS FRA EFESOS,,0372,-0372,gresk mystiker.
peAnMa,Q18744497,ANDREAS,MAY,ANDREAS MAY,1817,1899,1817-1899,tysk jurist og dramatiker.
peJMay,Q77378756,JACOB,MAYSON,JACOB MAYSON,1808,1881,1808-1881,"dansk skuespiller, teaterleder og teatermaler."
peAM,,ALFREDO,MAZZA,ALFREDO MAZZA,,,,italiensk jurist.
peJRMC,,JOHN RAMSAY,M’CULLOCH/MAC CULLOCH,JOHN RAMSAY M’CULLOCH/MAC CULLOCH,1789,1864,1789-1864,britisk nasjonaløkonom og statistiker.
peASM,,SOFIE (Anna Sophie),MEGRUND,SOFIE (Anna Sophie) MEGRUND,1839,1920,1839-1920,norsk prestehustru.
peCMe,,[HANS] CONRAD [THORESEN],MEGRUND,[HANS] CONRAD [THORESEN] MEGRUND,1874,1955,1874-1955,norsk prest.
peDiM,Q5283683,DITMAR,MEIDELL,DITMAR MEIDELL,1826,1900,1826-1900,norsk redaktør.
peHMe,,HJALMAR [SIGVARD],MEIDELL,HJALMAR [SIGVARD] MEIDELL,1871,1957,1871-1957,norsk tannlege og forfatter.
peSMe,,SIMON [SØRENSEN],MEISLING,SIMON [SØRENSEN] MEISLING,1787,1856,1787-1856,dansk filolog.
peEMe,Q354786,[JEAN LOUIS] ERNEST,MEISSONNIER,[JEAN LOUIS] ERNEST MEISSONNIER,1815,1891,1815-1891,"fransk maler, raderer, litograf og tegner."
peGPM,,PETER GABRIEL,MEISTERLIN,PETER GABRIEL MEISTERLIN,1873,1901,1873-1901,norsk lege.
peEM,,ERNST [LUDWIG FILIP],MEYER,ERNST [LUDWIG FILIP] MEYER,1854,1914,1854-1914,svensk bibliotekar og litteraturhistoriker.
peSM,Q543536,SOPHUS [AUGUST BERTHEL],MICHAËLIS,SOPHUS [AUGUST BERTHEL] MICHAËLIS,1865,1932,1865-1932,dansk forfatter.
peBMi,Q5592,,,MICHELANGELO BUONAROTTI,1475,1564,1475-1564,"italiensk billedhugger, maler og arkitekt."
peHTM,Q240782,HARRIET [TAYLOR],MILL,HARRIET [TAYLOR] MILL,1807,1858,1807-1858,engelsk kvinnesaksforkjemper.
peSMi,Q50020,JOHN STUART,MILL,JOHN STUART MILL,1806,1873,1806-1873,"britisk filosof, sosialøkonom og politisk teoretiker."
peMin,Q231156,MINA,,MINA,,,,"tjenestepike hos Ibsen, ikke identifisert."
peHeMi,Q94893550,HEINRICH,MINDEN,HEINRICH MINDEN,,1912,-1912,tysk forlegger (Anonym 1913).
peGML,,[MAGNUS GUSTAF] GÖSTA,MITTAG-LEFFLER,[MAGNUS GUSTAF] GÖSTA MITTAG-LEFFLER,1846,1927,1846-1927,svensk matematiker.
peSML,,SIGNE [EMILIA JULIA],MITTAG-LEFFLER,SIGNE [EMILIA JULIA] MITTAG-LEFFLER,1861,1921,1861-1921,svensk matematikerhustru.
peFM,Q90165,FRIEDRICH,MITTERWURZER,FRIEDRICH MITTERWURZER,1842,1897,1842-1897,tysk-østerriksk skuespiller.
pePM,Q94921051,PAUL,MOCHMANN,PAUL MOCHMANN,,,,tysk skolemann.
peHMod,,HELENA,MODRZEJEWSKA/MODJESKA,HELENA MODRZEJEWSKA/MODJESKA,1840,1909,1840-1909,polsk-amerikansk skuespillerinne.
peAMo,,ABRAHAMA [BØCKMANN],MOE,ABRAHAMA [BØCKMANN] MOE,1844,1936,1844-1936,norsk sjømannshustru.
peJMoe,Q470002,JØRGEN [ENGEBRETSEN],MOE,JØRGEN [ENGEBRETSEN] MOE,1813,1882,1813-1882,"norsk geistlig, forfatter og folklorist."
peMoM,,[INGEBRET] MOLTKE,MOE,[INGEBRET] MOLTKE MOE,1859,1913,1859-1913,norsk folklorist.
peHMo,Q2587502,HENRIK,MOHN,HENRIK MOHN,1835,1916,1835-1916,norsk meteorolog.
peWMo,Q19400644,WILHELM,MOHR,WILHELM MOHR,1820,1880,1820-1880,norsk kjøpmann.
peHM,Q5990904,[JOHAN] HARALD,MOLANDER,[JOHAN] HARALD MOLANDER,1858,1900,1858-1900,svensk forfatter og teatermann.
peCKFM,Q687173,CHRISTIAN KNUD FREDERIK,MOLBECH,CHRISTIAN KNUD FREDERIK MOLBECH,1821,1888,1821-1888,dansk forfatter og kritiker.
peFrkMol,,frøken,MOLBECH,frøken MOLBECH,,,,"Datter av C.K.F. Molech, sannsynligvis Johanne Charlotte eller Helga Marie, jf. kommentar til revet. "
peMMo,,MATHILDE,MOLBECH,MATHILDE MOLBECH,1841,1908,1841-1908,dansk forfatterhustru.
peHCBM,,HELMUTH [CARL BERNHARD GRAF] VON,MOLTKE,HELMUTH [CARL BERNHARD GRAF] VON MOLTKE,1800,1891,1800-1891,prøyssisk offiser.
peTMom,,[CHRISTIAN MATHIAS] THEODOR,MOMMSEN,[CHRISTIAN MATHIAS] THEODOR MOMMSEN,1817,1903,1817-1903,tysk oldtidsforsker.
peDGMo,Q694093,DITLEV GOTHARDT,MONRAD,DITLEV GOTHARDT MONRAD,1811,1887,1811-1887,dansk statsminister og biskop.
peMaMo,Q981668,MARCUS [JACOB],MONRAD,MARCUS [JACOB] MONRAD,1816,1897,1816-1897,norsk filosof.
peEnMo,Q95249674,ENRICO,MONTECORBOLI,ENRICO MONTECORBOLI,1839,,1839-,"italiensk dramatiker og journalist (Anker 2, 106;"
peCMo,Q44652,CHRISTIAN,MORGENSTERN,CHRISTIAN MORGENSTERN,1871,1914,1871-1914,tysk forfatter og oversetter.
peBM,Q4960143,BREDO [HENRIK VON MUNTHE AF],MORGENSTIERNE,BREDO [HENRIK VON MUNTHE AF] MORGENSTIERNE,1851,1930,1851-1930,norsk jurist og statsøkonom.
peOM,,OVE,MOSSIN,OVE MOSSIN,1850,1912,1850-1912,norsk politiinspektør.
peEMo,Q1807063,ERNST,MOTZFELDT,ERNST MOTZFELDT,1842,1915,1842-1915,norsk jurist og politiker.
peOVM,,OTTO VALDEMAR,MOURIER,OTTO VALDEMAR MOURIER,1843,1922,1843-1922,dansk gartner.
peMou,Q76421796,,MOUTHON,MOUTHON,,,,språklærer i Dresden.
peOAM,,OLE ANDREAS,MOXNESS,OLE ANDREAS MOXNESS,1844,1913,1844-1913,norsk fabrikkeier.
peAMu,,[ANNA MARIE] AMALIE,MUNCH,[ANNA MARIE] AMALIE MUNCH,1832,1905,1832-1905,dansk-norsk dikterhustru.
peAnM,Q499674,ANDREAS,MUNCH,ANDREAS MUNCH,1811,1884,1811-1884,norsk forfatter.
pePAM,Q561632,PETER ANDREAS,MUNCH,PETER ANDREAS MUNCH,1810,1863,1810-1863,"norsk historiker, geograf og språkforsker."
peAMun,Q41580,AXEL [MARTIN FREDRIK],MUNTHE,AXEL [MARTIN FREDRIK] MUNTHE,1857,1949,1857-1949,svensk lege og forfatter.
peGM,Q1009816,GERHARD [PETER FRANTZ WILHELM],MUNTHE,GERHARD [PETER FRANTZ WILHELM] MUNTHE,1849,1929,1849-1929,norsk maler.
peAdM,Q179680,ALFRED,MUSSET,ALFRED MUSSET,1810,1857,1810-1857,fransk forfatter.
peCAM,,CHRISTOPHER ANDREAS,MYHLENPHORT,CHRISTOPHER ANDREAS MYHLENPHORT,1837,1891,1837-1891,norsk konsul.
peMMy,,MARIE,MYHLENPHORT,MARIE MYHLENPHORT,1845,,1845-,norsk konsulhustru.
peMLMy,,MARIE LOUISE,MYHLENPHORT,MARIE LOUISE MYHLENPHORT,1884,1885,1884-1885,norsk konsuldatter.
peCaMu,Q16760886,CARL [ARNOLDUS],MÜLLER,CARL [ARNOLDUS] MÜLLER,1818,1893,1818-1893,norsk skolemann.
peHHMu,,HILDUR [HEGERMANN],MÜLLER,HILDUR [HEGERMANN] MÜLLER,1840,,1840-,norsk kjøpmannshustru.
peLuM,Q2582588,LUDVIG [AUGUST],MÜLLER,LUDVIG [AUGUST] MÜLLER,1868,1922,1868-1922,"norsk skuespiller, teatersjef og dramatisk forfatter."
peCoM,,CONSTANCE,MÜLLER,CONSTANCE MÜLLER,1834,1914,1834-1914,tysk-norsk malerhustru.
peMorM,Q518139,MORTEN,MÜLLER,MORTEN MÜLLER,1828,1911,1828-1911,norsk maler
peOTFM,Q23720602,OTTO [THOTT FRITZNER],MÜLLER,OTTO [THOTT FRITZNER] MÜLLER,1864,1944,1864-1944,norsk skolemann og politiker.
peSOM,Q4992359,SOPHUS [OTTO],MÜLLER,SOPHUS [OTTO] MÜLLER,1846,1934,1846-1934,dansk arkeolog.
peTM,,TOBIAS [ALEXANDER],MÜLLER,TOBIAS [ALEXANDER] MÜLLER,1830,,1830-,norsk kjøpmann og skipsreder.
peMyr,Q332462,,MYRON,MYRON,,,,gresk billedhugger.
peFPM,Q16649941,FRANTZ PECKEL,MØLLER,FRANTZ PECKEL MØLLER,1834,1901,1834-1901,norsk kjemiker og farmasøyt.
peSMo,Q12002040,SOPHIE [MAREN],MØLLER,SOPHIE [MAREN] MØLLER,1840,1920,1840-1920,norsk lærerinne og botaniker.
peBiM,,[CARL] BIRGER,MÖRNER,[CARL] BIRGER MÖRNER,1867,1930,1867-1930,svensk diplomat og forfatter.
peHJN,,[HANS] JACOB,NANDRUP,[HANS] JACOB NANDRUP,1829,1907,1829-1907,norsk sakfører og lensmann.
peBN,Q4898939,BETTY [ANNA MARIE],NANSEN,BETTY [ANNA MARIE] NANSEN,1873,1943,1873-1943,"dansk skuespillerinne, instruktør og teaterdirektør."
peFNa,Q72292,FRIDTJOF,NANSEN,FRIDTJOF NANSEN,1861,1930,1861-1930,"norsk naturforsker, polarfarer, humanist og diplomat."
pePN,Q4349086,PETER,NANSEN,PETER NANSEN,1861,1918,1861-1918,dansk forfatter og forlagsdirektør.
peNa1,Q517,,,NAPOLEON 1.,1769,1821,1769-1821,fransk general og keiser.
peNap3,Q7721,,,NAPOLEON 3.,1808,1873,1808-1873,fransk keiser.
peJAWN,Q67183,JOHANN AUGUST WILHELM,NEANDER,JOHANN AUGUST WILHELM NEANDER,1789,1850,1789-1850,tysk kirkehistoriker.
peTNe,,THORA [ELISABETH],NEELSEN,THORA [ELISABETH] NEELSEN,1848,1917,1848-1917,norsk skuespillerinne.
peNel,,FRANKLIN E.,NEL[…],FRANKLIN E. NEL[…],,,,"ikke identifisert, sannsynligvis autografsamler og identisk med brevets mottager."
peKNe,,KNUD [HVEBORG/WEBERG],NERGAARD,KNUD [HVEBORG/WEBERG] NERGAARD,1802,1855,1802-1855,norsk embetsmann (
peNeum,,herr,NEUMANN,herr NEUMANN,,,,"tysk billedhugger, ikke identifisert."
peFN,,FREDRIKKE [LUISE],NIELSEN,FREDRIKKE [LUISE] NIELSEN,1837,1912,1837-1912,"norsk skuespillerinne, senere religiøs forkynner."
peHaNi,Q20871740,HARALD [ANDREAS],NIELSEN,HARALD [ANDREAS] NIELSEN,1831,1882,1831-1882,"norsk skuespiller, regissør og teaterleder."
pePINie,Q63323593,[PETER] IVAR,NIELSEN,[PETER] IVAR NIELSEN,1855,1938,1855-1938,dansk-norsk dyrlege.
peLNi,Q30506227,LARS,NIELSEN,LARS NIELSEN,1824,1865,1824-1865,norsk apoteker og bankmann.
peMN,,MARTINIUS (Martinus Valdemar),NIELSEN,MARTINIUS (Martinus Valdemar) NIELSEN,1859,1928,1859-1928,dansk skuespiller og teaterdirektør.
peONie,Q4969425,ODA [LAURENZE HELMINE],NIELSEN,ODA [LAURENZE HELMINE] NIELSEN,1851,1936,1851-1936,dansk skuespillerinne.
pePEN,,PETER (Peder Even),NIELSEN,PETER (Peder Even) NIELSEN,1818,1861,1818-1861,norsk skuespiller og regissør.
pePNi,,PETER (Jean Pierre Louis/Johan Peter Ludvig),NIELSEN,PETER (Jean Pierre Louis/Johan Peter Ludvig) NIELSEN,1808,1900,1808-1900,dansk-norsk skuespiller.
peRaN,Q4589060,RAGNA [VILHELMINE],NIELSEN,RAGNA [VILHELMINE] NIELSEN,1845,1924,1845-1924,"norsk pedagog og skolebestyrerinne, kvinnesaksforkjemper og publisist."
peRNi,Q30503669,RASMUS,NIELSEN,RASMUS NIELSEN,1809,1884,1809-1884,dansk filosof.
peCNie,,CLEMENCE (Clementine),NIELSSEN,CLEMENCE (Clementine) NIELSSEN,1842,1928,1842-1928,østerriksk dyremalerinne.
peJNie,Q17120056,JOHAN [MARTIN],NIELSSEN,JOHAN [MARTIN] NIELSSEN,1835,1912,1835-1912,norsk maler.
peHNR,Q96769,HEDWIG,NIEMANN-RAABE,HEDWIG NIEMANN-RAABE,1844,1905,1844-1905,tysk skuespillerinne.
peNik2,Q40787,,,NIKOLAI 2.,1868,1918,1868-1918,tsar av Russland 1894-1917.
peANil,Q2846467,ANDREAS,NILSEN,ANDREAS NILSEN,1822,1898,1822-1898,norsk skipsmegler.
peRN,,RANDOLPH (eller Randulph),NILSEN,RANDOLPH (eller Randulph) NILSEN,1826,1909,1826-1909,norsk seilmakermester og skipsreder.
peWEN,,WENCHE [ELISABETH],NILSEN,WENCHE [ELISABETH] NILSEN,1830,,1830-,norsk skipsrederhustru.
peJSN,Q2367502,[JOHAN] SEVERIN,NILSON,[JOHAN] SEVERIN NILSON,1846,1918,1846-1918,svensk maler og fotograf.
peEN,Q1782618,ERIKA [RØRING MØINICHEN] LIE,NISSEN,ERIKA [RØRING MØINICHEN] LIE NISSEN,1845,1903,1845-1903,norsk pianistinne og musikkpedagog.
peONi,Q1783691,[ELIAS GOTTLIEB] OSCAR [EGEDE],NISSEN,[ELIAS GOTTLIEB] OSCAR [EGEDE] NISSEN,1843,1911,1843-1911,"norsk lege, sosialreformator, redaktør og politiker."
peANo,Q23810,ALFRED [BERNHARD],NOBEL,ALFRED [BERNHARD] NOBEL,1833,1896,1833-1896,svensk oppfinner og industrimann.
peMKN,,MARTIN KRISTIAN,NORBY,MARTIN KRISTIAN NORBY,1847,1929,1847-1929,norsk embetsmann.
peAENo,Q156749,ADOLF ERIK,NORDENSKIÖLD,ADOLF ERIK NORDENSKIÖLD,1832,1901,1832-1901,"finsk-svensk polarforsker, geograf og geolog."
peGN,Q1505512,GEORG [GUSTAF],NORDENSVAN,GEORG [GUSTAF] NORDENSVAN,1855,1932,1855-1932,"svensk forfatter, kritiker, kunsthistoriker og teaterhistoriker."
peRiN,Q366629,RIKARD,NORDRAAK,RIKARD NORDRAAK,1842,1866,1842-1866,norsk komponist.
peCPN,,CARL PETER [ANTON DIÜRENDAHL],NYBLINN,CARL PETER [ANTON DIÜRENDAHL] NYBLINN,1818,1883,1818-1883,norsk fotograf.
peCRN,Q6019298,CARL RUPERT,NYBLOM,CARL RUPERT NYBLOM,1832,1907,1832-1907,svensk litteratur- og kunsthistoriker og dikter.
peCVN,Q12304936,CARTHON [KRISTOFFER] VALDEMAR,NYHOLM,CARTHON [KRISTOFFER] VALDEMAR NYHOLM,1829,1912,1829-1912,dansk jurist og politiker.
peON,Q96023274,OLINUS,NYHUUS,OLINUS NYHUUS,1844,1936,1844-1936,norsk botaniker.
peANy,,[GUSTAF] ALFRED,NYSTRÖM,[GUSTAF] ALFRED NYSTRÖM,1844,1897,1844-1897,svensk billedhugger.
peGNa,,G.,NÆSS,G. NÆSS,,,,ikke identifisert.
peAO,Q363502,ADOLF,OBERMÜLLNER,ADOLF OBERMÜLLNER,1833,1898,1833-1898,østerriksk landskapsmaler.
peSO,Q539525,SIGBJØRN,OBSTFELDER,SIGBJØRN OBSTFELDER,1866,1900,1866-1900,norsk forfatter.
peDO,,DETLOF,ODELSTJERNA,DETLOF ODELSTJERNA,1817,1892,1817-1892,svensk offiser.
peAGOe,Q168356,ADAM [GOTTLOB],OEHLENSCHLÄGER,ADAM [GOTTLOB] OEHLENSCHLÄGER,1779,1850,1779-1850,dansk forfatter.
peHOl,Q1803038,[OLE] HENRIK [BENEDICTUS],OLRIK,[OLE] HENRIK [BENEDICTUS] OLRIK,1830,1890,1830-1890,dansk maler og billedhugger.
peMO,,MARIE [ELEONORE],OLSEN,MARIE [ELEONORE] OLSEN,1855,1941,1855-1941,norsk komponisthustru.
peOO,,[IVER] OLAUS,OLSEN,[IVER] OLAUS OLSEN,1856,1927,1856-1927,norsk skuespiller og teaterdirektør.
peOOl,Q714521,OLE,OLSEN,OLE OLSEN,1850,1927,1850-1927,norsk komponist og dirigent.
peRO,Q87831,ROLF,OLSEN,ROLF OLSEN,1818,1864,1818-1864,"norsk jurist, politiker og forfatter."
peUMO,Q75488966,URANIA MARQUARD,OLSEN,URANIA MARQUARD OLSEN,1856,1932,1856-1932,dansk-norsk skuespillerinne.
peBO,,BOYE,ORDING,BOYE ORDING,1829,1906,1829-1906,norsk prest.
peFO,Q5499508,FREDRIK [CHRISTIAN WILDHAGEN],ORDING,FREDRIK [CHRISTIAN WILDHAGEN] ORDING,1870,1929,1870-1929,norsk skolemann og forfatter.
peKongO1,,,,OSCAR 1. (Joseph-Françoise-Oscar el. Joseph Frantz Oscar),1799,1859,1799-1859,konge av Sverige og Norge 1844-59.
peKongO2,,,,OSCAR 2. (Oscar Fredrik),1829,1907,1829-1907,hertug av Östergötland og konge av Sverige 1872-1907 og Norge 1872-1905.
peODL,,,OSSIP-LOURIÉ (Osip Davydovic Luré),OSSIP-LOURIÉ (Osip Davydovic Luré),1869,1955,1869-1955,fransk-russisk litterat.
peAOs,Q15454150,ALBERT,OSTERRIETH,ALBERT OSTERRIETH,1865,1926,1865-1926,tysk jurist.
peVO,Q84517016,VICTOR,OTTMANN,VICTOR OTTMANN,1869,1944,1869-1944,"tysk forfatter, reiseskildrer og oversetter (Anker 2, 115; DBI 3. utg.)."
peTO,Q6031489,THOMAS,OVERSKOU,THOMAS OVERSKOU,1798,1873,1798-1873,"dansk forfatter, sceneinstruktør og teaterhistoriker."
peLPal,Q377125,[ADOLF ARNOLD] LOUIS,PALANDER,[ADOLF ARNOLD] LOUIS PALANDER,1842,1920,1842-1920,svensk polarforsker.
peFPa,Q1055843,FILIPPO,PALIZZI,FILIPPO PALIZZI,1818,1899,1818-1899,italiensk figur- og dyremaler.
pePaLu,Q15727314,LUIGI,PALMA,LUIGI PALMA,1837,1899,1837-1899,italiensk rettslærd.
pePLPa,Q369314,PETER LUDVIG,PANUM,PETER LUDVIG PANUM,1820,1885,1820-1885,dansk fysiolog.
peSPa,Q4979526,SOFIE [MARIE],PARELIUS,SOFIE [MARIE] PARELIUS,1823,1902,1823-1902,norsk skuespillerinne.
peEPas,,ELMIRE,PASSARGE,ELMIRE PASSARGE,,,,tysk jurist- og forfatterhustru.
peLP,,LUDWIG/LOUIS,PASSARGE,LUDWIG/LOUIS PASSARGE,1825,1912,1825-1912,tysk embetsmann og forfatter.
pePaula,Q847179,PAULA,,PAULA,,,,ikke identifisert.
peEPa,Q921675,EDE,PAULAY,EDE PAULAY,1836,1894,1836-1894,"ungarsk skuespiller, regissør og tetardirektør."
peJP,Q4585515,JOHN [OLAF],PAULSEN,JOHN [OLAF] PAULSEN,1851,1924,1851-1924,norsk forfatter.
peCPa,Q2014562,CHRISTIAN [CORNELIUS],PAUS,CHRISTIAN [CORNELIUS] PAUS,1800,1879,1800-1879,norsk embetsmann.
peCBP,Q5111962,CHRISTOPHER BLOM,PAUS,CHRISTOPHER BLOM PAUS,1810,1898,1810-1898,norsk kjøpmann.
peHJPa,Q11975064,HENRIK JOHAN,PAUS,HENRIK JOHAN PAUS,1799,1893,1799-1893,norsk fogd.
peKPa,,LINA/KAROLINE (Johanne Caroline),PAUS,LINA/KAROLINE (Johanne Caroline) PAUS,1813,1902,1813-1902,norsk rentenist.
peMPa,,MINE (Else Marie Rasmine Jørgine),PAUS,MINE (Else Marie Rasmine Jørgine) PAUS,1817,1914,1817-1914,norsk kjøpmannshustru.
peGLP,,[GERHARD] LOUIS,PEDERSEN,[GERHARD] LOUIS PEDERSEN,1843,1932,1843-1932,norsk skuespiller.
peTPe,Q6039339,THOROLF,PEDERSEN,THOROLF PEDERSEN,1858,1942,1858-1942,dansk maler og teatermaler.
peGPe,Q82429136,GYULA,PÉKAR,GYULA PÉKAR,1867,1937,1867-1937,ungarsk forfatter og politiker.
peKP,,KARL [AUGUST FRANZ SALES],PERFALL,KARL [AUGUST FRANZ SALES] PERFALL,1824,1907,1824-1907,"tysk jurist, komponist og teaterleder."
peNP,Q6042511,NILS [EDVARD],PERSONNE,NILS [EDVARD] PERSONNE,1850,1928,1850-1928,"svensk skuespiller, regissør, oversetter og teaterhistoriker."
pePeter,Q33923,PETER,,PETER,,,,ikke identifisert.
peWP,Q12010647,WILHELM [OTTO],PETERS,WILHELM [OTTO] PETERS,1851,1935,1851-1935,"norsk maler, tegner, grafiker og dekorativ kunstner."
peCP,,[CHRISTOPHER MATHIAS] CLEMENS,PETERSEN,[CHRISTOPHER MATHIAS] CLEMENS PETERSEN,1834,1918,1834-1918,dansk litteraturkritiker.
peFrPet,Q580238,FREDRIK,PETERSEN,FREDRIK PETERSEN,1839,1903,1839-1903,norsk teolog.
