XML-ID,Wikidata ID,Given Name,Surname,Name,Year of Birth,Year of Death,Lifespan,Brief Description
peKGAK,Q64265,KARL GUSTAV ADOLF,KNIES,KARL GUSTAV ADOLF KNIES,1821,1898,1821-1898,tysk nasjonaløkonom.
peOvK,Q38240335,[ERIC] OSCAR VON,KNORRING,[ERIC] OSCAR VON KNORRING,1822,1891,1822-1891,"svensk offiser, forfatter og komponist."
peDFK,Q15633021,DAVID FAYE,KNUDSEN,DAVID FAYE KNUDSEN,1837,1922,1837-1922,norsk skolemann og lærebokforfatter.
peKKspr,Q965733,KNUD,KNUDSEN,KNUD KNUDSEN,1812,1895,1812-1895,"norsk språkreformator, grammatiker og skolemann."
peKKn,Q965733,KNUD,KNUDSEN,KNUD KNUDSEN,,,,ikke identifisert.
peFGK,,FREDERIK GOTSCHALK,KNUDTZON,FREDERIK GOTSCHALK KNUDTZON,1843,1917,1843-1917,dansk kunsthistoriker.
peMK,Q59384,MAX,KOCH,MAX KOCH,1855,1931,1855-1931,tysk litteraturhistoriker.
peRvonK,Q5916611,RICHERT VOGT VON,KOCH,RICHERT VOGT VON KOCH,1838,1913,1838-1913,svensk offiser og forfatter.
peKvK,Q18628094,KARL [VON],KOLB,KARL [VON] KOLB,1800,1868,1800-1868,tysk kjøpmann og bankier i Roma.
peStK,Q477514,STEN,KONOW,STEN KONOW,1867,1948,1867-1948,norsk språkforsker.
peWoKo,,WOLLERT (S.B.),KONOW,WOLLERT (S.B.) KONOW,1845,1924,1845-1924,"norsk politiker (S.B. = Søndre Bergenhus, til forskjell fra hans samtidige fetter og partifelle Wollert Konow (H.) = Hedmark)."
peKGi,Q574731,,KONRÁÐ GÍSLASON,KONRÁÐ GÍSLASON,1808,1891,1808-1891,islandsk språkforsker.
peJKoo,,JACOB BLAAUW,KOOTER,JACOB BLAAUW KOOTER,1818,1887,1818-1887,norsk bankbokholder (Rømer 2005).
peJvKo,Q1708346,JOSEPH VON,KOPF,JOSEPH VON KOPF,1827,1903,1827-1903,tysk billedhugger.
peMKo,,MARTHA,KOPF,MARTHA KOPF,1870,,1870-,"datter av Joseph von Kopf (Noack 1927, . 2, 330). "
peHKo,Q12020896,HUGO,KOSTERKA,HUGO KOSTERKA,1867,1956,1867-1956,tsjekkisk forfatter og oversetter.
peTPK,Q934901,THOMAS [PETER],KRAG,THOMAS [PETER] KRAG,1868,1913,1868-1913,norsk forfatter.
peVK,Q3357114,VILHELM [ANDREAS WEXELS],KRAG,VILHELM [ANDREAS WEXELS] KRAG,1871,1933,1871-1933,norsk dikter.
peFKr,,FRITZ (Friedrich),KRASTEL,FRITZ (Friedrich) KRASTEL,1839,1908,1839-1908,østerriksk skuespiller.
peKraus,,herr (muligens Kraußneck),KRAUSENECK,herr (muligens Kraußneck) KRAUSENECK,,,,ikke identifisert.
peAMK,,ANNA MARGRETHE,KREBS,ANNA MARGRETHE KREBS,1818,1891,1818-1891,dansk forfatterinne.
peFCK,Q42239120,FREDERIK CHRISTIAN,KREBS,FREDERIK CHRISTIAN KREBS,1814,1881,1814-1881,dansk lege og sosialøkonom.
peJK,Q12320032,JOHANNE [CATHRINE],KREBS,JOHANNE [CATHRINE] KREBS,1848,1924,1848-1924,dansk malerinne.
peMMK,,MARIE [MARGARETHUS],KREUKNIET,MARIE [MARGARETHUS] KREUKNIET,1852,1893,1852-1893,nederlandsk skuespiller og teaterleder.
peAFK,Q2362184,ANDREAS FREDERIK,KRIEGER,ANDREAS FREDERIK KRIEGER,1817,1893,1817-1893,dansk jurist og politiker.
peBK,Q2481584,BJØRN,KRISTENSEN,BJØRN KRISTENSEN,1869,1935,1869-1935,norsk redaktør.
peKrKr,Q106985939,KRISTEN [NIKOLAI],KRISTENSEN,KRISTEN [NIKOLAI] KRISTENSEN,1838,1916,1838-1916,norsk prest.
peJPKR,,JENS PETER,KRISTENSEN-RANDERS,JENS PETER KRISTENSEN-RANDERS,1854,1926,1854-1926,dansk høyskoleforstander.
peNaBe,Q45993863,NANNA,KRISTENSEN-RANDERS,NANNA KRISTENSEN-RANDERS,1864,1908,1864-1908,dansk høyskoleforstanderhustru.
peKri,Q106669803,,,KRISTUS,,,,Jesus Kristus.
