Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,Mentioned_Person_ID,Mentioned_Person,Mentioned_Org_ID,Mentioned_Org,Mentioned_Places_Abbr,Mentioned_Places,Recipient_Adress,Mentioned_Works_IDs
B18440520PL,peHI,HENRIK IBSEN,pePL,POUL LIEUNGH,1844-05-20,GRIMSTAD,Gri,"'peHeL, peJAR, peFLR, peJAAI, peJJos, peCSAa'",,,,"'Gri, Ski'","'Grimstad, Skiens'","'Herr ,  P Lieungh, Skien'",
B18441006HSte,peHI,HENRIK IBSEN,peHSte,HANNA STENERSEN,1844-10-06,GRIMSTAD,Gri,"'peJAR, peFLR'",,,,,,"'Jomfru H Stenersen, Porsgrund'",
B18450801AWE,peHI,HENRIK IBSEN,peAWE,MINA WAHL (G. ENG),1845-08-01,GRIMSTAD,Gri,,,,,,,,
B18461207JCP,peHI,HENRIK IBSEN,peJCP,JOHAN CASPAR PREUS,1846-12-07,GRIMSTAD,Gri,"'peESJB, peHJHB, peJAR, peKPI'",,,,"'Gri, Ski'","'Grimstad, Skien'",,
B18491015OS,peHI,HENRIK IBSEN,peOS,OLE CARELIUS SCHULERUD,1849-10-15,GRIMSTAD,Gri,peCLD,,,,,,"'N,  1/, Til, Herr Stud: jur: O. Schulerud, Addr: Fru Budde, Kirkebakken, N,  5., Christiania'",woC1
B18500105OS,peHI,HENRIK IBSEN,peOS,OLE CARELIUS SCHULERUD,1850-01-05,GRIMSTAD,Gri,"'peCL, peKongChr7, peKongG3, peCE, peHJB, peTCr, peCLD, peLNi, pePSch'",,,,"'Tel, Lil, Kbh, Kri, Akfest'","'Thelemarken, Lillesand, Kjøbenhavn, Christiania, Agershuus Fæstning'",,"'woC1, woBalm, woFpA'"
B18500210OS,peHI,HENRIK IBSEN,peOS,OLE CARELIUS SCHULERUD,1850-02-10,GRIMSTAD,Gri,"'peAGOe, peCLD'",,,,,,"'Til, Herr Stud: jur: O. Schulrud., Addr. Madame Sæther, Pipervigen, Christiania.'",
B18500412CM,peHI,HENRIK IBSEN,peCM,CATHRINE MARTINI,1850-04-12,GRIMSTAD,Gri,,,,,,,,woDiMaane
B18500712KongO1,peHI,HENRIK IBSEN,peKongO1,KONG OSCAR 1.,1850-07-12,KRISTIANIA,Kri,,,,,"'Gri, Kri'","'Grimstads, Christiania'",,
B18500728AkKoll,peHI,HENRIK IBSEN,orgAkKoll,DET AKADEMISKE KOLLEGIUM,1850-07-28,KRISTIANIA,Kri,peHom,,,,,,,
Budat1850-51CE,peHI,HENRIK IBSEN,peCE,CLARA EBBELL,1850-12-25 - 1851-01-31,GRIMSTAD,Gri,,,,,,,"'Til, Jomfru Clara Ebbell.'",
B18510125HerrA,peHI,"IBSEN, HENRIK",peHerrA,«HERR A.»,1851-01-25,KRISTIANIA,Kri,peAI,,,,,,,
B18520425NTB,peHI,HENRIK IBSEN,orgNTB,DET NORSKE THEATER I BERGEN,1852-04-25,KØBENHAVN,Kbh,"'peJLHe, peTO'",,orgKT,,,,"'Til, Bestyrelsen for det norske Theater, i Bergen.'",
B18520516NTB,peHI,HENRIK IBSEN,orgNTB,DET NORSKE THEATER I BERGEN,1852-05-16,KØBENHAVN,Kbh,"'peHaNi, peJFH, peAAB, peLHG, peJLHe, peTO, peCaBe, peCNJS, peTSHH, peWiS, peLuH, peHCA, peJCD, peCRH'",,"'orgNTB, orgBurg'",,"'Kri, Berg, D, Ham, Dre, Wien'","'Christiania, Bergen, Tydskland, Hamburg, Dresden, Wien'","'Til, Bestyrelsen for det norske Theater, i Bergen.'",
B18520530NTB,peHI,HENRIK IBSEN,orgNTB,DET NORSKE THEATER I BERGEN,1852-05-30,KØBENHAVN,Kbh,"'peHaNi, peJFB, peJFH, peLoB, peCNJS, peLanz, peJLHe, peTO, peJCD'",,orgKT,,"'Lub, Dre'","'Lübeck, Dresden'","'Til, Bestyrelsen for det norske Theater, i Bergen.'",
B18520602NTB,peHI,HENRIK IBSEN,orgNTB,DET NORSKE THEATER I BERGEN,1852-06-02,KØBENHAVN,Kbh,"'peJFB, peJFH, peHaNi, peLoB, peAI, peJPr, peOJB, peLW, peFLH, peTO, peJLHe'",,,,Berg,Bergen,"'Til, Bestyrelsen for det norske Theater, i Bergen'",
B18520624NTB,peHI,HENRIK IBSEN,orgNTB,DET NORSKE THEATER I BERGEN,1852-06-24,DRESDEN,Dre,"'peJCD, peCBo, peHaNi, peJFB, peKNe, peWT'",,,,"'Kbh, Pa, Berg, Ham'","'Kjøbenhavn, Paris, Hamburg'","'Til, Bestyrelsen for det norske Theater, in Bergen, Norwegen'",
B18530522RHo,peHI,HENRIK IBSEN,peRHo,RIKKE HOLST (G. TRESSELT),1853-05-22,BERGEN,Berg,,,,,,,,woDiAur
B18530606RHo,peHI,HENRIK IBSEN,peRHo,RIKKE HOLST (G. TRESSELT),1853-06-06,[BERGEN],Berg,,,,,,,,woDiTilRH
Budat185306RHo,peHI,HENRIK IBSEN,peRHo,RIKKE HOLST (G. TRESSELT),1853-06,[BERGEN],Berg,,,,,,,,woDiRose
B18530804NTB,peHI,HENRIK IBSEN,orgNTB,DET NORSKE THEATER I BERGEN,1853-08-04,BERGEN,Berg,"'peJMay, pePEN, peJSte, peHJW'",,,,,,,
B18530805PBH,peHI,HENRIK IBSEN,pePBH,PAUL BOTTEN-HANSEN,1853-08-05,[BERGEN],Berg,"'peAOV, peOJB, peTAb'",,,,,,"'Til, Herr Literatus P. B. Hansen., Adr: Bogh: Dzwonkowsky., Christiania, Ved godhed af, Herr Skuespiller Bucher'",
B18531108NTB,peHI,HENRIK IBSEN,orgNTB,DET NORSKE THEATER I BERGEN,1853-11-08,[BERGEN],NN,"'peAI, peBJH, peHaNi'",,,,,,,
B18531205NTB,peHI,HENRIK IBSEN,orgNTB,DET NORSKE THEATER I BERGEN,1853-12-05,[BERGEN],NN,"'peFN, peKMR, peHLaa, peAI, peJI'",,,,,,,
B18531221NTB,peHI,HENRIK IBSEN,orgNTB,DET NORSKE THEATER I BERGEN,1853-12-21,BERGEN,Berg,peAI,,,,,,,
B18540405TS,peHI,HENRIK IBSEN,orgTS,TRONDHJEM STIFTAMT,1854-04-05,TRONDHEIM,Trhm,,,"'orgNTB, orgTT'",,Trhm,Trondhjem,,
B18541104NTB,peHI,HENRIK IBSEN,orgNTB,DET NORSKE THEATER I BERGEN,1854-11-04,[BERGEN],NN,"'peJac, peJoh'",,,,,,"'Til, Bestyrelsen for det norske Theater'",
