Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,Mentioned_Person_ID,Mentioned_Person,Mentioned_Org_ID,Mentioned_Org,Mentioned_Places_Abbr,Mentioned_Places,Recipient_Adress,Mentioned_Works_IDs
B18740420GB,peHI,HENRIK IBSEN,peGB,GEORG BRANDES,1874-04-20,DRESDEN,Dre,peEBr,,,,"'N plDk plSE plFin, Ska'","'de nordiske lande, Skandinavien'",,
B18740503ON,peHI,HENRIK IBSEN,peON,OLINUS NYHUUS,1874-05-03,DRESDEN,Dre,,,orgStud,,,,,woKG
B18740508GBe,peHI,HENRIK IBSEN,peGBe,GOTTLOB BERNER,1874-05-08,DRESDEN,Dre,peNMP,,orgKT,,"'Kri, Kbh, Dk'","'Kristiania, København, Danmark'","'Til, herr justitsråd Berner,, intendant ved det kgl: theater og kapel, i København.'",woHH
B18740523FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1874-05-23,DRESDEN,Dre,"'peGBe, peCKFM, peJLH, peGB, peJH'",,orgKT,,"'Isl, N, Kbh'","'Islands, Norge, København'",,"'woBr, woHH, woPG, woF2, woUF'"
Budat18740608DresBGA,peHI,HENRIK IBSEN,orgDresBGA,DRESDEN BEZIRKS-GERICHTS-AMT,1874-06-08,DRESDEN,Dre,,,,,Dre,Dresden,,
B18740627FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1874-06-27,DRESDEN,Dre,"'peGB, peMLaz, peSuI, peSiI, peJLi, peJH, peAuLa'",,orgKT,,"'N, Mun, Lei, Kbh'","'Norgesrejse, München, Leipzig, København'",,"'woBr, woPG, woF2'"
B18740708HHo,peHI,HENRIK IBSEN,peHHo,HENRIETTE HOFGAARD,1874-07-08,DRESDEN,Dre,,,,,Kri,Kristiania,"'Frøken Henriette Hofgaard, Fougners gård i Pilestrædet., Christiania., (Norwegen.)'",
B18740712FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1874-07-12,DRESDEN,Dre,"'peJH, peAuLa'",,,,Kbh,København,,
B18740723RSch,peHI,HENRIK IBSEN,peRSch,RIKKA ZEIER,1874-07-23,KRISTIANIA,Kri,"'peHHo, peSuI'",,,,,,,
B18740723KAWi,peHI,HENRIK IBSEN,peKAWi,KRISTIAN ANASTAS WINTERHJELM,1874-07-23,KRISTIANIA,Kri,peAugSoh,,,,,,,
Budat18740730MB,peHI,HENRIK IBSEN,peMB,MICHAEL BIRKELAND,1874-07-30,KRISTIANIA,Kri,,,,,,,,
