Number,Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,Mentioned_Person_ID,Mentioned_Person,Mentioned_Org_ID,Mentioned_Org,Mentioned_Places_Abbr,Mentioned_Places,Recipient_Adress,Mentioned_Works_IDs
2082,B18980925GF,peHI,HENRIK IBSEN,peGF,GUSTAF FREDRIKSON,1898-09-25,KRISTIANIA,Kri,peHSch,,,,,,,
2083,B18980925HSch,peHI,HENRIK IBSEN,peHSch,HANS SCHRØDER,1898-09-25,KRISTIANIA,Kri,peGF,,,,,,"'Herr teaterchef Schrøder, R. af St. O. ord. m. m., Victoria Terrasse 2,, hersteds.'",
2084,B18980930GB,peHI,HENRIK IBSEN,peGB,GEORG BRANDES,1898-09-30,KRISTIANIA,Kri,"'peZF, peGBr, peEdBr'",,,,,,,
2085,B18981005NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1898-10-05,KRISTIANIA,Kri,,,,,,,,
2086,B18981010ZF,peHI,HENRIK IBSEN,peZF,ZDENKO FIBICH,1898-10-10,KRISTIANIA,Kri,,,,,,,,
2087,B18981017BI,peHI,HENRIK IBSEN,peBI,BERGLIOT IBSEN,1898-10-17,KRISTIANIA,Kri,,,,,,,,
2088,B18981030NN_beklager,peHI,HENRIK IBSEN,peNN,UKJENT MOTTAGER,1898-10-30,KRISTIANIA,Kri,,,,,,,,
2089,Budat1898JE,peHI,HENRIK IBSEN,peJE,JULIUS ELIAS,1898-10,KRISTIANIA,Kri,,,,,,,,
2090,B18981104GaG,peHI,HENRIK IBSEN,peGaG,GUSTAF AF GEIJERSTAM,1898-11-04,KRISTIANIA,Kri,peASt,,,,,,,
2091,B18981115GaG,peHI,HENRIK IBSEN,peGaG,GUSTAF AF GEIJERSTAM,1898-11-15,KRISTIANIA,Kri,,,,,,,,
2092,B18981120JBC,peHI,HENRIK IBSEN,peJBC,JENNY BLICHER-CLAUSEN,1898-11-20,KRISTIANIA,Kri,peBBj,,,,,,,
2093,B18981121PN,peHI,HENRIK IBSEN,pePN,PETER NANSEN,1898-11-21,KRISTIANIA,Kri,,,,,,,,
2094,B18981121NN_Kare_ven,peHI,HENRIK IBSEN,peNN,UKJENT MOTTAGER,1898-11-21,KRISTIANIA,Kri,,,,,,,,
2095,B18981127OMA,peHI,HENRIK IBSEN,peOMA,OLUF MARTIN ANDERSEN,1898-11-27,KRISTIANIA,Kri,,,,,,,"'Herr stadsingeniør Andersen,, Sehesteds Plads 2.'",
2096,Budat1898MLi,peHI,HENRIK IBSEN,peMLi,MONS LIE,1898-11,KRISTIANIA,Kri,peJEL,,,,,,,
2097,B18981201RH,peHI,HENRIK IBSEN,peRH,RAGNVALD HJERLOW,1898-12-01,KRISTIANIA,Kri,peBrBer,,,,,,"'Herr landskabsmaler R. Hjerlow., Nedre Slotsgade 3.'",
2098,B18981202NN_HerrGreve,peHI,HENRIK IBSEN,peNN,UKJENT MOTTAGER,1898-12-02,KRISTIANIA,NN,,,,,,,,
2099,B18981210ES,peHI,HENRIK IBSEN,peES,EDVARD SKARI,1898-12-10,KRISTIANIA,Kri,,,,,,,,
2100,B18981218WA,peHI,HENRIK IBSEN,peWA,WILLIAM ARCHER,1898-12-18,KRISTIANIA,Kri,,,,,,,"'William Archer Esq., 34, Great Ormond Street, W.C., London.'",
2101,B18981221NatTh,peHI,HENRIK IBSEN,orgNatTh,NATIONALTHEATRET,1898-12-21,KRISTIANIA,Kri,,,,,,,,
2102,B18981221CaSo,peHI,HENRIK IBSEN,peCaSo,CAROLINE SONTUM,1898-12-21,KRISTIANIA,Kri,,,,,,,,
2103,B18981229BB,peHI,HENRIK IBSEN,peBB,BJØRNSTJERNE BJØRNSON,1898-12-29,KRISTIANIA,Kri,,,,,,,,
2104,B18981230GaG,peHI,HENRIK IBSEN,peGaG,GUSTAF AF GEIJERSTAM,1898-12-30,KRISTIANIA,Kri,,,,,,,,
2105,B18981230GB,peHI,HENRIK IBSEN,peGB,GEORG BRANDES,1898-12-30,KRISTIANIA,Kri,"'peWiS, peBDi, peFLas, peJHL'",,,,,,,
2106,B18981230JBC,peHI,HENRIK IBSEN,peJBC,JENNY BLICHER-CLAUSEN,1898-12-30,KRISTIANIA,Kri,,,,,,,,
2107,B18981230JH,peHI,HENRIK IBSEN,peJH,JACOB HEGEL,1898-12-30,KRISTIANIA,Kri,,,,,,,,
2108,B18981230NN_Modtag,peHI,HENRIK IBSEN,peNN,UKJENT MOTTAGER,1898-12-30,KRISTIANIA,Kri,,,,,,,,
2109,B18981230RFi,peHI,HENRIK IBSEN,peRFi,ROSA FITINGHOFF,1898-12-30,KRISTIANIA,Kri,peLFi,,,,,,,
2110,B18981231IAa,peHI,HENRIK IBSEN,peIAa,INGEBORG BJØRNSON,1898-12-31,KRISTIANIA,Kri,peSuI,,,,,,,
2111,B18990106JE,peHI,HENRIK IBSEN,peJE,JULIUS ELIAS,1899-01-06,KRISTIANIA,Kri,,,,,,,,
2112,B18990107KomPT,peHI,HENRIK IBSEN,orgKomPT,KOMITEEN FOR PRESSENS TIVOLIUGE,1899-01-07,KRISTIANIA,Kri,,,,,,,,
2113,B18990108ABL,peHI,HENRIK IBSEN,peABL,CHRISTOPHER LUNDH,1899-01-08,KRISTIANIA,Kri,,,,,,,"'Herr løjtnant Chr. A. B. Lundh,, Drammensvejen 66, hersteds.'",
2114,B18990108NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1899-01-08,KRISTIANIA,Kri,,,,,,,,
2115,B18990108AuLa,peHI,HENRIK IBSEN,peAuLa,AUGUST LARSEN,1899-01-08,KRISTIANIA,Kri,,,,,,,,
2116,B18990113EGr,peHI,HENRIK IBSEN,peEGr,EDVARD GRIEG,1899-01-13,KRISTIANIA,Kri,"'peKHo, peJH, peWHan'",,,,,,,
2117,B18990116AAu,peHI,HENRIK IBSEN,peAAu,ANDREAS AUBERT,1899-01-16,KRISTIANIA,Kri,,,,,,,,
2118,B18990122Kdep,peHI,HENRIK IBSEN,orgKdep,KIRKE- OG UNDERVISNINGSDEPARTEMENTET,1899-01-22,KRISTIANIA,Kri,peEGr,,,,,,,
2119,B18990123AHe,peHI,HENRIK IBSEN,peAHe,AXEL HEIBERG,1899-01-23,KRISTIANIA,Kri,,,,,,,"'Herr konsul Axel Heiberg,, Lysaker station, Vestbanen.'",
2120,B18990125JE,peHI,HENRIK IBSEN,peJE,JULIUS ELIAS,1899-01-25,KRISTIANIA,Kri,peSFi,,,,,,,
2121,Budat1899AAu,peHI,HENRIK IBSEN,peAAu,ANDREAS AUBERT,1899-01,KRISTIANIA,Kri,,,,,,,,
2122,B18990203HMH,peHI,HENRIK IBSEN,peHMH,HENRIK MIKAEL HELLIESEN,1899-02-03,KRISTIANIA,Kri,,,,,,,,
2123,B18990212PR,peHI,HENRIK IBSEN,orgPR,PHILIPP RECLAM JUN.,1899-02-12,KRISTIANIA,Kri,"'peSFi, peJE'",,,,,,,
2124,B18990213JH,peHI,HENRIK IBSEN,peJH,JACOB HEGEL,1899-02-13,KRISTIANIA,Kri,peSuI,,,,,,,
2125,B18990219ODL,peHI,HENRIK IBSEN,peODL,OSSIP-LOURIÉ,1899-02-19,KRISTIANIA,Kri,,,,,,,,
2126,B18990224AuLa,peHI,HENRIK IBSEN,peAuLa,AUGUST LARSEN,1899-02-24,KRISTIANIA,Kri,"'peAFH, peMaBu, peJBH'",,,,,,,
2127,B18990224JH,peHI,HENRIK IBSEN,peJH,JACOB HEGEL,1899-02-24,KRISTIANIA,Kri,,,,,,,,
2128,B18990301EBr,peHI,HENRIK IBSEN,peEBr,EDVARD BRANDES,1899-03-01,KRISTIANIA,Kri,"'peHA, peTLe'",,,,,,,
2129,B18990301CRo,peHI,HENRIK IBSEN,peCRo,CHRISTIAN ROHDE,1899-03-01,KRISTIANIA,Kri,,,,,,,"'Herr skræddermester Christian Rohde,, Kirkegaden,, hjørnet af Prinsens gade.'",
2130,B18990305OB,peHI,HENRIK IBSEN,peOB,OTTO BORCHSENIUS,1899-03-05,KRISTIANIA,Kri,"'peHA, peOMA, peTLe'",,,,,,,
2131,B18990309NatTh,peHI,HENRIK IBSEN,orgNatTh,NATIONALTHEATRET,1899-03-09,KRISTIANIA,Kri,,,,,,,,
2132,B18990310ELil,peHI,HENRIK IBSEN,peELil,ELSA LILLIEHÖÖK,1899-03-10,KRISTIANIA,Kri,,,,,,,"' Elsa Lilliehöök,, Köringsberg., Wretstorp. D., Sverige.'",
2133,B18990405NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1899-04-05,KRISTIANIA,Kri,,,,,,,,
