Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,Mentioned_Person_ID,Mentioned_Person,Mentioned_Org_ID,Mentioned_Org,Mentioned_Places_Abbr,Mentioned_Places,Recipient_Adress,Mentioned_Works_IDs
B18900102MG,peHI,HENRIK IBSEN,peMG,MARCUS GRØNVOLD,1890-01-02,MÜNCHEN,Mun,,,,,,,"'Herrn M. Grønvold., Aeussere Nymphenburgerstrasse 24., hier.'",
B18900102NN_Lieber_Herr,peHI,HENRIK IBSEN,peNN,UKJENT MOTTAGER,1890-01-02,MÜNCHEN,Mun,,,,,,,,
B18900113WA,peHI,HENRIK IBSEN,peWA,WILLIAM ARCHER,1890-01-13,MÜNCHEN,Mun,"'peJBH, peFrAr'",,,,,,,
B18900116EBa,peHI,HENRIK IBSEN,peEBa,EMILIE BARDACH,1890-01-16,MÜNCHEN,Mun,peMiBa,,,,,,,
B18900121HLi,peHI,HENRIK IBSEN,peHLi,HERMANN LINGG,1890-01-21,MÜNCHEN,Mun,,,,,,,,
B18900123EvB,peHI,HENRIK IBSEN,peEvB,EMMERICH BUKOVICS VON KIS-ALACSKA,1890-01-23,MÜNCHEN,Mun,peMvB,,,,,,,
B18900124NN_Lieber_Herr,peHI,HENRIK IBSEN,peEPos,[ERNST POSSART],1890-01-24,MÜNCHEN,Mun,"'peACP, peAPo'",,,,,,,
B18900206EBa,peHI,HENRIK IBSEN,peEBa,EMILIE BARDACH,1890-02-06,MÜNCHEN,Mun,,,,,,,,
B18900211HBvS,peHI,HENRIK IBSEN,peHBvS,HANS BRONSART VON SCHELLENDORF,1890-02-11,MÜNCHEN,Mun,peIBS,,,,,,"'Hochgeboren, Herrn Generalintendanten von Bronsart., Weimar.'",
B18900213MaGr,peHI,HENRIK IBSEN,peMaGr,MAX GRÖBNER,1890-02-13,MÜNCHEN,Mun,,,,,,,,
B18900224MSch,peHI,HENRIK IBSEN,peMSch,MAXIMILIAN SCHMIDT,1890-02-24,MÜNCHEN,Mun,peHLi,,,,,,,
B18900227AL,peHI,HENRIK IBSEN,peAL,AUGUST LINDBERG,1890-02-27,MÜNCHEN,Mun,peHM,,orgGyl,,,,,
B18900304NN_Geehrten_Herr,peHI,HENRIK IBSEN,peNN,UKJENT MOTTAGER,1890-03-04,MÜNCHEN,Mun,,,orgFBE,,,,,
B18900306SFi,peHI,HENRIK IBSEN,peSFi,SAMUEL FISCHER,1890-03-06,MÜNCHEN,Mun,"'peWL, peEK, peMvB, peEBrau'",,,,,,,
B18900311KL,peHI,HENRIK IBSEN,peKL,KARL LARSEN,1890-03-11,MÜNCHEN,Mun,"'peOBr, pePS, peCaRi'",,orgFBE,,,,,
B18900317AL,peHI,HENRIK IBSEN,peAL,AUGUST LINDBERG,1890-03-17,MÜNCHEN,Mun,peHM,,,,,,,
B18900321HR,peHI,HENRIK IBSEN,peHR,HELENE RAFF,1890-03-21,MÜNCHEN,Mun,peSuI,,,,,,,
B18900325RS,peHI,HENRIK IBSEN,peRS,RUDOLPH SCHMIDT,1890-03-25,MÜNCHEN,Mun,"'peJHo, peKL, peAuLa, peSuI'",,orgGyl,,,,"'Digteren herr Rudolf Schmidt., Blaagaardsgade 16. B., Kopenhagen., Dänemark.'",
B18900331OH,peHI,HENRIK IBSEN,peOH,OLAF HALVORSEN,1890-03-31,MÜNCHEN,Mun,,,,,,,"'Herr Olaf Halvorsen., Porsgrund., Norwegen.'",
B18900420AL,peHI,HENRIK IBSEN,peAL,AUGUST LINDBERG,1890-04-20,MÜNCHEN,Mun,,,,,,,,
B18900422GaG,peHI,HENRIK IBSEN,peGaG,GUSTAF AF GEIJERSTAM,1890-04-22,MÜNCHEN,Mun,"'peAL, peLJ, peNGV'",,,,,,,
B18900428MK,peHI,HENRIK IBSEN,peMK,MAX KOCH,1890-04-28,MÜNCHEN,Mun,,,,,,,"'Herrn Professor Dr: Max Koch., Breslau.'",
B18900430PN,peHI,HENRIK IBSEN,pePN,PETER NANSEN,1890-04-30,MÜNCHEN,Mun,,,,,,,,
B18900516GHa,peHI,HENRIK IBSEN,peGHa,GERHART HAUPTMANN,1890-05-16,MÜNCHEN,Mun,,,,,,,"'Dem Schriftsteller, Herrn Gerhardt Hauptmann., Charlottenburg oder Erkner bei Berlin.'",
B18900516ML,peHI,HENRIK IBSEN,peML,MIKAEL LYBECK,1890-05-16,MÜNCHEN,Mun,,,,,,,"'\n                        dr: filos: Mikael Lybeck., Nykarleby., Finland.'",
B18900519PN,peHI,HENRIK IBSEN,pePN,PETER NANSEN,1890-05-19,MÜNCHEN,Mun,,,,,,,,
B18900525BBj,peHI,HENRIK IBSEN,peBBj,BJØRN BJØRNSON,1890-05-25,MÜNCHEN,Mun,peHeKl,,,,,,,
B18900526AD,peHI,HENRIK IBSEN,peAD,ANDREAS DOLLERIS,1890-05-26,MÜNCHEN,Mun,,,,,,,,
B18900603GF,peHI,HENRIK IBSEN,peGF,GUSTAF FREDRIKSON,1890-06-03,MÜNCHEN,Mun,"'peHM, peJH'",,orgGyl,,,,,
B18900627AuLa,peHI,HENRIK IBSEN,peAuLa,AUGUST LARSEN,1890-06-27,MÜNCHEN,Mun,peJH,,,,,,"'Herr fuldmægtig August Larsen., Gyldendalske boghandel., Kopenhagen., Dänemark.'",
B18900628EK,peHI,HENRIK IBSEN,peEK,EMMA KLINGENFELD,1890-06-28,MÜNCHEN,Mun,,,,,,,,
