Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,GeoName_ID,toponymName,Country,Latitude,Longitude,Recipient_Adress,Recipient_Location,Recipient_Location_Abbr,Recipient_Addr_Latitude,Recipient_Addr_Longitude,Mentioned_Person_ID,Mentioned_Persons,Mentioned_Org_ID,Mentioned_Org,Mentioned_Works_IDs,Mention_Works_Title,Text_ID,Mention_Works_Genre,Collective_Vesions_ID,Mentioned_Places,Mentioned_Places_Abbr
B18741013FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1874-10-13,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,,,woF2,Fru Inger til Østråt,F2,drama,F,"Danmarks, Norge","SE, Dk, N"
B18741022FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1874-10-22,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,peJH,JACOB DEICHMANN FREDERIK HEGEL,,,"woF2, woDi","Fru Inger til Østråt, Digte","F2, Di","drama, dikt",F,Norges,"Kri, N"
B18741023PB,peHI,HENRIK IBSEN,pePB,PETER BLYTT,1874-10-23,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,peCEB,CHRISTIAN EGE BUSCH,orgGyl,DEN GYLDENDALSKE BOGHANDEL,woF2,Fru Inger til Østråt,F2,drama,F,"Norge, Bergen, Kristiania, Dresden, København","N, Berg, Kri, Dre, Kbh"
B18741111PB,peHI,HENRIK IBSEN,pePB,PETER BLYTT,1874-11-11,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,,,,,,,,"Bergen, Kristiania, Dresden","Berg, Kri, Dre"
B18741113SuI,peHI,HENRIK IBSEN,peSuI,SUSANNA IBSEN,1874-11-13,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,"peSiI, peTK, peMTh, peHB, peEHol, peEPr, peCALe","SIGURD IBSEN, THOMAS KRAGH THORESEN, MARIE SOPHIE THORESEN, HERMAN BRUNCHORST BAARS, ELISE (Elisabeth Wilhelmine) HOLCK, EDITH PRADEZ, CHRISTIAN ALBRECHT GREV LERCHE",orgChrTh,CHRISTIANIA THEATER,woDi,Digte,Di,dikt,,"Bergen, Kristiania, Kallundborg, København","Berg, Kri, Kalu, Kbh"
B18741115SuI,peHI,HENRIK IBSEN,peSuI,SUSANNA IBSEN,1874-11-15,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,"peMTh, peSiI, peTK, peMT","MARIE SOPHIE THORESEN, SIGURD IBSEN, THOMAS KRAGH THORESEN, ANNA MAGDALENE THORESEN",,,,,,,,"Dresden, København, Norge","Dre, Kbh, N"
B18741121JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1874-11-21,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,"peMTh, peMT, peSuI, peTK, peFH, peSiI, peDFa, peCF","MARIE SOPHIE THORESEN, ANNA MAGDALENE THORESEN, SUSANNA/SUZANNAH IBSEN, THOMAS KRAGH THORESEN, NIELS FREDERIK VILHELM HEGEL, SIGURD IBSEN, DOROTHEA ELISABETH FALSEN, CONRAD FALSEN",,,"woUF, woF2, woDi","De unges Forbund, Fru Inger til Østråt, Digte","UF, F2, Di","drama, drama, dikt",F,"København, Dresden, Thelemarken, Norge","Kbh, Dre, Tel, N"
B18741123FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1874-11-23,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,"peSuI, peMTh, peGB","SUSANNA/SUZANNAH IBSEN, MARIE SOPHIE THORESEN, GEORG MORRIS COHEN BRANDES",,,"woUF, woF2, woDi, woC1, woC2","De unges Forbund, Fru Inger til Østråt, Digte, Catilina, Catilina","UF, F2, Di, C1, C2","drama, drama, dikt, drama, drama","F, C",København,Kbh
B18741201GotT,peHI,HENRIK IBSEN,orgGotT,"STORA TEATERN, GÖTEBORG",1874-12-01,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,,,woF2,Fru Inger til Østråt,F2,drama,F,Götheborg,Got
B18741201KT,peHI,HENRIK IBSEN,orgKT,DET KONGELIGE THEATER I KØBENHAVN,1874-12-01,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,,,woF2,Fru Inger til Østråt,F2,drama,F,,
